Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02,39.942749,39.952290,39.064884,39.446564,28.143316,16722831
2013-01-03,39.971375,40.486641,39.227100,40.391220,28.817295,24673483
2013-01-04,40.515266,40.553436,39.904579,40.047710,28.572216,16169068
2013-01-07,40.114506,40.257633,39.933205,40.190842,28.674335,12055773
2013-01-08,40.314884,40.734734,40.248093,40.248093,28.715179,15458943
2013-01-09,40.448475,40.696564,40.267178,40.639313,28.994289,10556609
2013-01-10,40.906490,41.173664,40.791985,40.820610,29.123650,13593084
2013-01-11,40.753819,41.345421,40.753819,41.250000,29.429991,12722825
2013-01-14,41.326336,41.564884,41.078243,41.354961,29.504879,11650721
2013-01-15,41.393131,41.545803,40.849236,40.906490,29.184917,12446677
2013-01-16,40.925571,41.068703,40.553436,40.591602,28.960266,12481156
2013-01-17,40.849236,40.887405,40.591602,40.791985,29.103222,16255109
2013-01-18,40.916031,41.011452,40.696564,41.011452,29.259802,17222937
2013-01-22,40.811069,41.240459,40.658398,41.221375,29.409567,12819765
2013-01-23,41.030533,41.106869,40.601147,40.858780,29.150885,14854666
2013-01-24,40.982822,41.230915,40.963741,41.030533,29.273411,13096122
2013-01-25,41.145039,41.469467,40.763359,41.469467,29.586567,13799330
2013-01-28,41.354961,41.507633,40.963741,40.963741,29.225756,12418800
2013-01-29,41.211830,41.736641,41.020992,41.660305,29.722723,16474874
2013-01-30,41.660305,41.765266,41.469467,41.507633,29.613802,13280885
2013-01-31,41.440842,41.641220,41.269085,41.269085,29.443605,15237291
2013-02-01,40.305344,40.791985,39.608780,39.914124,28.476910,39497024
2013-02-04,39.494274,39.751907,38.959923,38.979008,27.809753,30821366
2013-02-05,39.169846,39.580154,39.055344,39.532444,28.204599,22330050
2013-02-06,39.456108,39.551525,39.103054,39.208015,27.973135,18218222
2013-02-07,39.217556,39.408398,39.007633,39.122135,27.911863,16950666
2013-02-08,39.179390,39.293892,39.074429,39.293892,28.034399,15365566
2013-02-11,39.303436,39.599236,39.208015,39.484734,28.170553,11959776
2013-02-12,39.475189,39.666031,39.246181,39.551525,28.218204,10475808
2013-02-13,39.522900,39.589695,39.131680,39.265266,28.013985,16561858
2013-02-14,39.160305,39.332062,38.959923,39.303436,28.041210,17116774
2013-02-15,39.561069,39.599236,39.351147,39.522900,28.197783,16326897
2013-02-19,39.694656,40.286259,39.675571,40.286259,28.742422,13944793
2013-02-20,40.419846,40.791985,40.286259,40.706108,29.041946,17607343
2013-02-21,40.553436,40.620228,40.333969,40.553436,28.933029,12390504
2013-02-22,40.629772,41.288170,40.582062,41.001907,29.252995,16132807
2013-02-25,41.326336,41.459923,40.562977,40.572517,28.946644,20338850
2013-02-26,40.791985,40.839695,40.171757,40.477100,28.878565,14570449
2013-02-27,40.333969,41.173664,40.333969,41.001907,29.252995,13537121
2013-02-28,41.040077,41.230915,40.772900,40.772900,29.089603,14893442
2013-03-01,40.391220,40.715649,40.391220,40.677483,29.021542,15527482
2013-03-04,40.954197,41.364506,40.801525,41.354961,29.504879,14839890
2013-03-05,41.603054,41.650764,41.125954,41.269085,29.443605,15843769
2013-03-06,41.316795,41.736641,41.087788,41.679390,29.736341,19301121
2013-03-07,41.812977,41.917938,41.116413,41.288170,29.457218,14392813
2013-03-08,41.412212,41.507633,40.954197,41.001907,29.252995,30678418
2013-03-11,40.982822,41.669846,40.906490,41.660305,29.722723,40492729
2013-03-12,43.339695,43.339695,42.824429,42.977100,30.662197,58695860
2013-03-13,42.500000,42.681297,42.442749,42.547710,30.648449,18781418
2013-03-14,42.662212,42.700382,41.603054,42.242367,30.428503,27136283
2013-03-15,41.822517,42.070610,41.784351,42.070610,30.304771,25499831
2013-03-18,41.774811,41.927483,41.574429,41.631680,29.988602,12699350
2013-03-19,41.698475,41.832062,41.603054,41.698475,30.036720,16248297
2013-03-20,41.984734,42.261452,41.870228,42.099236,30.325394,15693066
2013-03-21,42.013359,42.156490,41.755726,41.784351,30.098583,12476021
2013-03-22,41.851147,42.089695,41.793892,41.889313,30.174191,10463232
2013-03-25,41.937023,41.984734,41.517178,41.688931,30.029846,13746721
2013-03-26,41.937023,42.366413,41.889313,42.356869,30.510981,12694110
2013-03-27,42.108780,42.223282,41.898853,42.080154,30.311649,11497503
2013-03-28,42.032444,42.280533,41.946564,42.175571,30.380392,17440502
2013-04-01,41.984734,42.337788,41.765266,42.318703,30.483494,10377191
2013-04-02,42.471375,42.938931,42.385494,42.853054,30.868399,13400252
2013-04-03,42.938931,44.045803,42.938931,43.282444,31.177708,27114066
2013-04-04,43.311069,43.778625,42.948475,43.244274,31.150204,14637835
2013-04-05,42.977100,43.158398,42.833969,43.062977,31.019621,13206372
2013-04-08,43.024811,43.396946,42.900764,43.396946,31.260185,10640868
2013-04-09,43.635494,43.835876,43.263359,43.425571,31.280806,11108066
2013-04-10,43.807251,44.818703,43.683205,44.694656,32.194946,19634385
2013-04-11,44.541985,45.333969,44.541985,45.047710,32.449276,18379719
2013-04-12,44.532444,44.971375,44.513359,44.952290,32.380547,10547491
2013-04-15,44.742367,45.324429,44.332062,44.332062,31.933788,16083970
2013-04-16,44.503819,44.895039,44.370228,44.809158,32.277451,10674614
2013-04-17,44.580154,44.761452,44.284351,44.618320,32.139988,12342506
2013-04-18,44.713741,44.828243,44.360687,44.427483,32.002510,11813685
2013-04-19,44.713741,45.314884,44.522900,45.314884,32.641735,13315154
2013-04-22,45.276718,45.772900,45.019085,45.725189,32.937294,14950139
2013-04-23,45.753819,46.469467,45.734734,46.402672,33.425293,18500868
2013-04-24,46.440842,46.555344,45.677483,45.753819,32.957909,16292418
2013-04-25,45.753819,45.801525,45.114506,45.181297,32.545517,16702081
2013-04-26,45.104961,45.868320,44.952290,45.677483,32.902920,11110477
2013-04-29,45.687023,45.916031,45.534351,45.629772,32.868561,11921943
2013-04-30,45.562977,45.648853,44.847328,44.847328,32.304939,20692446
2013-05-01,42.748093,44.188931,42.557251,43.597328,31.404526,41648358
2013-05-02,43.797710,43.902672,43.406490,43.635494,31.432020,14929389
